dist_code,freq
37020,201
21090,188
31370,179
32030,176
39020,165
34030,152
39010,144
36020,124
35010,120
32010,120
34380,114
37010,110
31380,101
38090,100
32060,92
38050,84
38350,79
36310,76
35020,74
35330,66
31200,66
21140,66
34020,65
29010,64
33380,63
35380,62
23310,61
31270,54
38080,54
31190,51
23010,51
38100,50
36330,48
31130,48
31240,46
36360,45
38110,43
11230,43
35370,42
36010,42
33040,42
31090,42
11010,41
34330,40
32410,40
33030,39
36350,39
36030,38
38070,36
21310,35
25040,35
36390,35
11240,34
26310,33
32340,33
31010,33
25030,32
34310,32
36460,32
38030,32
36400,31
34040,30
34080,30
34050,30
35050,29
22010,29
37350,28
32310,28
33020,28
11140,28
34010,27
36480,26
36320,26
21010,25
34340,25
11030,25
33320,25
31230,25
31100,24
35040,24
36380,23
37050,22
31110,22
37090,22
37040,22
36060,22
35360,22
32040,21
34370,21
22060,21
25020,21
11020,20
11210,20
21040,20
33360,20
31150,20
32020,20
32330,19
26030,19
25050,19
